"avis	sentiment"
"Je déteste Duolingo je perds mon temps à chaque session.	1"
"L'expérience utilisateur est catastrophique je regrette mon abonnement.	1"
"Je n'ai rien appris application inutile et frustrante.	1"
"Support inexistant aucune aide reçue.	1"
"Trop de bugs application inutilisable.	1"
"Les rappels sont incessants ça devient oppressant.	1"
"Je me sens perdu aucune explication n'est claire.	1"
"Trop d'erreurs dans les exercices ça me décourage.	1"
"Impossible de progresser parcours confus.	1"
"Beaucoup trop de publicités c'est pénible.	1"
"Interface moche et vieillotte.	1"
"Le son ne fonctionne jamais.	1"
"J'ai abandonné au bout de deux jours.	1"
"Aucune nouveauté tout est répétitif.	1"
"Je trouve l'application très lente.	1"
"Les notifications sont agressives.	1"
"Franchement c'est la pire app d'apprentissage.	1"
"Je n'aime pas le système de points.	1"
"Problèmes de connexion en permanence.	1"
"Le contenu est trop superficiel.	1"
"duolingo est mauvais	1"
"Ce n'est pas très motivant j'espérais mieux.	2"
"Je trouve l'appli trop basique.	2"
"Parfois utile mais souvent décevant.	2"
"Exercices trop courts.	2"
"Trop d'automatismes on ne réfléchit plus.	2"
"Les récompenses n'ont aucun intérêt.	2"
"Certains mots sont mal traduits.	2"
"Ça manque de variété.	2"
"L'appli bugge parfois ça coupe l'élan.	2"
"Peu d'interaction avec d'autres utilisateurs.	2"
"Pas assez de personnalisation.	2"
"J'oublie vite ce que j'apprends.	2"
"Les rappels sont un peu trop fréquents.	2"
"Interface peu engageante.	2"
"On se lasse assez vite.	2"
"Pas de correction détaillée.	2"
"On stagne rapidement.	2"
"Navigation peu intuitive.	2"
"Pas de motivation pour continuer.	2"
"On tourne en rond.	2"
"	"
"C'est correct sans plus.	3"
"Ni mauvais ni exceptionnel.	3"
"Je n'ai pas d'avis particulier.	3"
"Ça peut aider mais ce n'est pas révolutionnaire.	3"
"Application moyenne.	3"
"On progresse mais doucement.	3"
"On progresse mais doucement.	3"
"Rien de surprenant.	3"
"Fonctionne comme prévu.	3"
"Cela dépend des jours.	3"
"Pas d'avis tranché.	3"
"Le design est classique.	3"
"Peu d'originalité.	3"
"Ça fonctionne mais c'est tout.	3"
"Peu d'interaction.	3"
"Appli dans la moyenne.	3"
"Répétitif mais ça reste efficace.	3"
"Ni enthousiasmant ni repoussant.	3"
"Utilitaire rien de plus.	3"
"J'utilise sans passion.	3"
"Expérience assez neutre.	3"
"	"
"L'appli est agréable je progresse bien.	4"
"J'aime le système de niveaux.	4"
"Exercices variés c'est motivant.	4"
"Interface simple et jolie.	4"
"Les rappels m'aident beaucoup.	4"
"Support client réactif.	4"
"Bonne expérience globale.	4"
"On apprend de nouveaux mots chaque jour.	4"
"Je recommande à mes amis.	4"
"On ne s'ennuie jamais.	4"
"On sent une vraie progression.	4"
"Les corrections sont utiles.	4"
"Bonne ergonomie.	4"
"Les notifications sont efficaces.	4"
"Design réussi.	4"
"J'aime beaucoup les petites récompenses.	4"
"L'appli me motive chaque matin.	4"
"Les mises à jour sont fréquentes.	4"
"Je trouve ça pratique pour réviser.	4"
"Bonne surprise dans l'ensemble.	4"
"c'est bien fait	4"
"J'adore Duolingo c'est génial !	5"
"J'ai beaucoup progressé grâce à cette appli.	5"
"Les exercices sont très amusants.	5"
"Interface magnifique et intuitive.	5"
"Je recommande à 100% !	5"
"On apprend en s'amusant c'est parfait.	5"
"Le système de points est super motivant.	5"
"Je suis accro c'est top !	5"
"Meilleure appli d'apprentissage de langues.	5"
"Super service client.	5"
"Expérience exceptionnelle.	5"
"Je ne peux plus m'en passer.	5"
"Chaque session est un plaisir.	5"
"Ludiquement parfait.	5"
"J'ai appris plus en un mois qu'en un an de cours.	5"
"Progression rapide et visible.	5"
"Communauté géniale.	5"
"Les rappels sont toujours au bon moment.	5"
"Bravo aux développeurs !	5"
"C'est un vrai plaisir d'utiliser cette appli. 	5"
"duolingo est bon	5"
"duolingo est très bien	5"
"duolingo c'est super	5"
"duolingo est vraiment utile	5"
